Job ID,Parent Job,Issue ID,Objective,Job Type,Priority,Assigned Worker,Status,Inputs,Expected Outputs,Success Criteria,Authority,Dependencies,Checkpoint / Resume,Retry Policy,Receipt Required,Next Worker / Handoff
JOB-001,,ERR-001,Prove current EC2 MCP runtime state and repair service path,INVESTIGATE_REPAIR,P0,Runtime Repair Worker,READY,"Instance inventory, repo, config",Verified running service or explicit blocked diagnosis,health + tools/list + restart test,SSM read; deploy only under guardrail,"AWS IAM, instance ID",Checkpoint after discovery and after repair,"3 retries, exponential backoff",Yes,MCP Contract Worker
JOB-002,JOB-001,ERR-008,Validate MCP initialize and tools/list contract before jq parsing,CONTRACT_TEST,P0,MCP Contract Worker,WAITING,Raw endpoint response,Schema-valid initialize/tools list,JSON-RPC response validated,Endpoint read,JOB-001 endpoint,Persist raw responses,2 retries,Yes,Capability Registry Worker
JOB-003,,ERR-007,Trace Bridge synthetic transaction end to end,INVESTIGATE_REPAIR,P0,Bridge Repair Worker,READY,"Bridge tool list, gateway, logs",Root cause + verified repair,synthetic bridge call succeeds,Read logs; config write under guardrail,API Gateway/Lambda/auth,Trace ID stored,3 retries,Yes,Receipt Worker
JOB-004,,ERR-014,Make receipts mandatory for every execution,IMPLEMENT,P0,Receipt Worker,READY,Job/worker/receipt contracts,Receipt validation gate,job cannot close without valid receipt,Runtime schema write,"ledger, telemetry",Resume from migration version,2 retries,Yes,Verification Worker
JOB-005,,ERR-027,Implement job-scoped shared scratchpad,IMPLEMENT,P0,Scratchpad Worker,READY,"Job ID, worker ID, state schema",Durable scratchpad + access policy,worker B resumes worker A's job,State-store write,database/object storage,Resume token per mutation,2 retries,Yes,Handover Worker
JOB-006,JOB-005,ERR-030,Implement Canonical Handover Contract,IMPLEMENT,P0,Handover Worker,WAITING,"Scratchpad, job graph",Completed/remaining/blockers/evidence/files/next worker package,continuation test avoids duplicate work,Job/scratch write,JOB-005,Handover version + token,2 retries,Yes,Task Router
JOB-007,JOB-006,ERR-029,Implement inter-worker dispatch and continuation,IMPLEMENT,P1,Task Router,WAITING,Worker registry + handover,Task sent to another LLM/tool and continued,downstream output updates same parent job,Provider/API invocation,worker connectors,Provider callback/cursor,2 retries then alternate provider,Yes,Evidence Verification Worker
JOB-008,,ERR-034,Implement Canonical Job Contract validator,IMPLEMENT,P0,Job Contract Worker,READY,Job schema,Runnable/non-runnable classification,invalid jobs blocked with actionable errors,Job registry write,registries,Schema version,1 retry,Yes,Scheduler Optimiser
JOB-009,,ERR-032,Populate worker registry and benchmark baseline,DISCOVER_BENCHMARK,P1,Benchmark Worker,READY,"Connected humans, LLMs, MCPs, APIs, scripts",Worker scorecards,capability/cost/reliability/authority evidence present,Read providers; spend within cap,test corpus,Benchmark run ID,1 retry/provider,Yes,Scheduler Optimiser
JOB-010,JOB-009,ERR-033,Implement evidence-based worker selection,IMPLEMENT,P1,Scheduler Optimiser,WAITING,"Worker scorecards, job contract",Ranked worker decision,best feasible worker selected and rationale recorded,Job routing authority,JOB-009,Routing decision state,fail over across candidates,Yes,Assigned worker
JOB-011,,ERR-013,"Implement queue, retries and dead-letter handling",IMPLEMENT,P0,Queue Worker,READY,"Job contract, retry rules",Durable queue and DLQ,poison job reaches DLQ with evidence,Queue/state write,runtime store,Queue cursor,Configured per job,Yes,Recovery Worker
JOB-012,,ERR-036,Implement authority and HITL gate,IMPLEMENT,P0,Authority Gatekeeper,READY,"Authority matrix, job actions",Pre-execution policy decision,unsafe/destructive action cannot execute,Policy enforcement,identity + policy registry,Decision token,No retry without new authority,Yes,Assigned worker
JOB-013,,ERR-039,Run OIKOS 90-day reconstruction gap assessment,ASSESS,P0,OIKOS Continuity Worker,READY,"Threads, Drive, GitHub, runtime state",Continuity gap and repair jobs,critical person/family/business/product commitments mapped,Sensitive-data policy,source access,Crawl cursor,Resume by source root,Yes,Thread Ingestion Worker
JOB-014,,ERR-040,Implement thread closeout extraction,IMPLEMENT,P1,Thread Ingestion Worker,READY,Conversation/thread export,"Tasks, decisions, evidence, blockers, handoff, receipt",thread closes without information loss,Thread read/runtime write,parser + canonical model,Thread cursor,2 retries,Yes,Canonical Gatekeeper
JOB-015,,ERR-037,Inventory and probe all portfolio domains and sites,DISCOVER_REPAIR,P1,Portfolio Repair Worker,READY,Domain registry,DNS/TLS/HTTP/application status and repair jobs,all known domains classified,DNS/deploy writes under guardrail,domain inventory,Cursor per domain,2 retries/domain,Yes,Portfolio Decision Worker
