priority,site,source_mode,source_ref,public_url,action
1,outcome-ready,github,TML-4PM/outcome-ready,https://outcome-ready.com,RECOVER_NOW
2,workfamilyai,github,TML-4PM/workfamilyai,https://workfamilyai.org,RECOVER_NOW
3,holo-org,github,TML-4PM/holo-org,https://holo-org.com,RECOVER_NOW
4,augmented-humanity-coach,github,TML-4PM/augmented-humanity-coach,https://augmentedhumanity.coach,RECOVER_NOW
5,enter-australia,github,TML-4PM/enter-australia,https://enteraustralia.tech,RECOVER_NOW
6,apex-predator-insurance,github,TML-4PM/apex-predator-insurance,https://apexpredatorinsurance.com,RECOVER_NOW
7,ai-sweet-spots,github,TML-4PM/ai-sweet-spots-for-all,https://aisweetspots.com,RECOVER_NOW
8,reading-buddy-by-outcome-ready,vercel-project,reading-buddy-by-outcome-ready,https://reading-buddy-by-outcome-ready.vercel.app,RECOVER_NOW
9,workfamilyai-one-click-augmentation,vercel-project,workfamilyai-one-click-augmentation,https://workfamilyai-one-click-augmentation.vercel.app,RECOVER_NOW
10,bih-platform-v2,vercel-project,bih-platform-v2,https://bih-platform-v2.vercel.app,RECOVER_NOW
11,hales-redden-bi-v2,vercel-project,hales-redden-bi-v2,https://hales-redden-bi-v2.vercel.app,RECOVER_NOW
12,tech4humanity-interactive-tools,vercel-project,tech4humanity-interactive-tools,https://tech4humanity-interactive-tools.vercel.app,RECOVER_NOW
13,bih-unified-platform,vercel-project,bih-unified-platform,https://bih-unified-platform.vercel.app,RECOVER_NOW
14,hales-redden-bi-platform,vercel-project,hales-redden-bi-platform,https://hales-redden-bi-platform.vercel.app,RECOVER_NOW
15,t4h-research-journey,vercel-project,t4h-research-journey,https://t4h-research-journey.vercel.app,RECOVER_NOW
16,whentoai,vercel-project,whentoai,https://whentoai.vercel.app,RECOVER_NOW
17,discover-aiss,vercel-project,discover-aiss,https://discover-aiss.vercel.app,RECOVER_NOW
18,compliance-tracker,vercel-project,compliance-tracker,https://compliance-tracker.vercel.app,RECOVER_NOW
19,calmbound-system,vercel-project,calmbound-system,https://calmbound-system.vercel.app,RECOVER_NOW
20,neuropak-dashboard,vercel-project,neuropak-dashboard,https://neuropak-dashboard.vercel.app,RECOVER_NOW
21,officeworks-quote-system,vercel-project,officeworks-quote-system,https://officeworks-quote-system.vercel.app,RECOVER_NOW
22,plmos-live,vercel-project,plmos-live,https://plmos-live.vercel.app,RECOVER_NOW
23,agent-channel,vercel-project,agent-channel,https://agent-channel.vercel.app,RECOVER_NOW
24,t4h-lead-funnel,vercel-project,t4h-lead-funnel,https://t4h-lead-funnel.vercel.app,RECOVER_NOW
25,t4h-lead-platform,vercel-project,t4h-lead-platform,https://t4h-lead-platform.vercel.app,RECOVER_NOW
26,t4h-revenue-intel,vercel-project,t4h-revenue-intel,https://t4h-revenue-intel.vercel.app,RECOVER_NOW
27,outcomeready-pilot,vercel-project,outcomeready-pilot,https://outcomeready-pilot.vercel.app,RECOVER_NOW
28,gilroys-painting,vercel-project,gilroys-painting,https://gilroys-painting.vercel.app,RECOVER_NOW
29,knowledge-drop,url,https://knowledge-drop.vercel.app,https://knowledge-drop.vercel.app,RECOVER_NOW
30,t4h-comms-hub,url,https://t4h-comms-hub.vercel.app,https://t4h-comms-hub.vercel.app,RECOVER_NOW
31,t4h-unsolicited-hales-redden,url,https://t4h-unsolicited-hales-redden.vercel.app,https://t4h-unsolicited-hales-redden.vercel.app,RECOVER_NOW
32,augmented-memories,github,TML-4PM/augmented-memories,https://augmentedmemories.org,RECOVER_NOW
33,mcp-native,github,TML-4PM/mcp-protocol-standard,https://mcp-native.com,RECOVER_NOW
34,far-cage,github,TML-4PM/far-cage,https://far-cage.org,RECOVER_NOW
35,own-your-ai,github,TML-4PM/own-your-ai,https://ownyourai.org,RECOVER_NOW
36,global-part-ownership,github,TML-4PM/global-part-ownership,,RECOVER_NOW
37,smartpark,github,TML-4PM/smartpark,,RECOVER_NOW
38,girlmath,github,TML-4PM/girlmath,,RECOVER_NOW
39,sm-ban-watch,github,TML-4PM/sm-ban-watch,,RECOVER_NOW
40,ai-oopsies,url,https://ai-oopsies.lovable.app,https://ai-oopsies.lovable.app,RECOVER_NOW
41,extreme-spotto,url,https://extreme-spotto.lovable.app,https://extreme-spotto.lovable.app,RECOVER_NOW
42,gcbat-org,url,https://gcbat-org.lovable.app,https://gcbat-org.lovable.app,RECOVER_NOW
43,girlmath-logic,url,https://girlmath-logic.lovable.app,https://girlmath-logic.lovable.app,RECOVER_NOW
44,free-augmentation-agents,url,https://free-augmentation-agents.lovable.app,https://free-augmentation-agents.lovable.app,RECOVER_NOW
45,ru-good-at-ai,url,https://ru-good-at-ai.lovable.app,https://ru-good-at-ai.lovable.app,RECOVER_NOW
46,aps-vignettes,url,https://aps-vignettes.lovable.app,https://aps-vignettes.lovable.app,RECOVER_NOW
47,predator-alert-system,url,https://predator-alert-system.lovable.app,https://predator-alert-system.lovable.app,RECOVER_NOW
48,the-neural-research-hub,url,https://the-neural-research-hub.lovable.app,https://the-neural-research-hub.lovable.app,RECOVER_NOW
49,making-you-a-star,url,https://making-you-a-star.lovable.app,https://making-you-a-star.lovable.app,RECOVER_NOW
50,tml-social-content,url,https://tml-social-content.lovable.app,https://tml-social-content.lovable.app,RECOVER_NOW
