evidence_id,mao_experiment,evidence_type,description,location,date_period,status,rd_criterion,risk,action_required
EV-001,MAO-005,Dataset,AI Sweet Spots dataset 4247 participants 28 variables confirmed in Supabase research_participant_registry,Supabase: public.research_participant_registry,FY2024-25,PARTIAL/STRONG,New knowledge + experimental activity,MEDIUM,Export CSV from Supabase; reconcile 4247 vs 4256 vs 11241 counts
EV-002,MAO-005,Research output,AI Sweet Spots manuscript and data dictionary referenced,Google Drive: AI Sweet Spots folder,FY2024-25,LOCATED,New knowledge,MEDIUM,Attach file IDs and confirm modification dates
EV-003,MAO-005,LLM chat exports,Claude/ChatGPT/Grok chat exports 90-day archive covering ASS research sessions,GDrive: 001-LLM-CHATS-LI-ARTICLES; ChatGPT Data folders,Nov 2025 - Feb 2026,LOCATED,Contemporaneous record,MEDIUM,Index by date and map to MAO-005 diary rows
EV-004,ALL,Director invoices,12 monthly director invoices FY24-25 Troy Latter to Tech 4 Humanity $500/hr CONFIRMED totals $1592250 / 3184.52h,Supabase: public.maat_invoice_register,Jul 2024 - Jun 2025,CONFIRMED,Cost substantiation,LOW,Print and wet-sign copies; attach to response pack
EV-005,ALL,Timesheets,299 timesheet rows 3184.52 total hours in maat_timesheets - NOTE: many rows labelled Reconstructed from invoice,Supabase: public.maat_timesheets,FY24-25,PARTIAL,Contemporaneous record (ATO TR 2011/4),HIGH,Flag reconstructed rows explicitly; calendar/diary corroboration needed for reconstructed entries
EV-006,MAO-007+MAO-008,MCP Bridge code,Bridge codebase NodeJS 20.x canonical key and Lambda functions - multiple versions documented,GitHub: TML-4PM repos; AWS Lambda ap-southeast-2,FY2024-25,LOCATED,Systematic progression + technical uncertainty,LOW,Export commit history and version changelog
EV-007,MAO-001+MAO-002+MAO-003,Neural Ennead architecture,729-agent architecture spec latency benchmarks and A/B routing tests referenced in experiment log,GitHub: TML-4PM; 03_Experiment_Log_FY2425.md,FY2024-25,LOCATED,Technical uncertainty + new knowledge,LOW,Export benchmark log files and architecture diagrams
EV-008,ALL,GitHub repositories,157 TML-4PM GitHub repositories confirmed via GitHub API 2026-03-16,github.com/TML-4PM,FY2022-23 to FY2024-25,LOCATED,Systematic progression + new knowledge,LOW,Export FY24-25 commit history for core repos
EV-009,ALL,Lambda functions,448 Lambda functions in mcp_lambda_registry - each is a discrete R&D artefact,AWS Lambda ap-southeast-2 account 140548542136,FY2023-24 to FY2024-25,LOCATED,Technical uncertainty + new knowledge,MEDIUM,Export list of functions created/modified in FY24-25
EV-010,ALL,Supabase schema,Supabase project lzfgigiyqpuuxslsygjt 2384 tables across 47 schemas - timestamped DDL history,Supabase,Feb 2025 - Mar 2026,CONFIRMED,Technical uncertainty + systematic progression,LOW,Export schema DDL history for FY24-25 period
EV-011,ALL,LinkedIn article corpus,634 articles in research_publication_register 631 rows in linkedin_articles 910263 words Aug 2022 - Dec 2025,Supabase: public.linkedin_articles; public.research_publication_register,FY2022-25,CONFIRMED,Knowledge dissemination,LOW,Use as dissemination evidence only - not primary R&D proof
EV-012,ALL,R&D Policy,POL-RD-001 v1.1 signed 16 Mar 2026 governing R01-R10 at $500/hr - rate conflict from v1.0 at $450 RESOLVED,S3: troylatter-sydney-downloads/rdti/POL-RD-001/,16 Mar 2026,LOCATED,Governance record,MEDIUM,Confirm v1.1 is the signed controlling version
EV-013,MAO-007,REAL evidence gating,No-pretend gate logic Supabase row spec GitHub receipt layout - blocks false REAL state in autonomous execution,Supabase; COAX file in conversations,FY2024-25,PARTIAL/STRONG,Technical uncertainty,LOW,Export Supabase gate rows and failed/blocked examples
EV-014,MAO-006,Assessment narratives,7 confirmed ASS narratives in rdti_narrative_register including R09 assessment tool and R06 platform infra,Supabase: public.rdti_narrative_register,FY2024-25,CONFIRMED,Systematic progression + new knowledge,LOW,Export R09 and R03 narrative rows for response pack
EV-015,ALL,Bank statements,250 reconciled bank statements across ANZ CBA Amex Bendigo SHA256-deduped - maat_source_registry,Supabase: public.maat_source_registry,Aug 2022 - Feb 2026,CONFIRMED,Cost substantiation,LOW,Extract FY24-25 R&D transaction schedule from maat_basiq_transaction or equivalent
