product,primary_need,intended_users,reusable_engines,integrity_layers,evidence_required,economic_path,governance_boundary,recovery_path,status
Reading Buddy,Improve reading and learning outcomes,"children; families; educators","AHC; ConsentX; LifeGraph+; Research OS; Reality Ledger","1;2;3;4;5;6;7","baseline reading signal; intervention receipt; progress outcome; guardian consent",school/provider licensing; family subscriptions; sponsored pilots,minor consent and education safety,rollback intervention plan and guardian escalation,PARTIAL
Outcome Ready,Coordinate family/provider outcomes and evidence,"families; participants; providers; practitioners","AHC; ConsentX; Reality Ledger; LifeGraph+; Research OS","2;3;4;5;6;7","intake receipt; plan receipt; progress evidence; outcome record",provider SaaS; care coordination packs; implementation services,participant consent and provider role boundaries,restore plan version and audit recovery,PARTIAL
WorkFamilyAI,Reduce household and work friction,"families; workers; organisations","AHC; HoloOrg; LifeGraph+; ConsentX; Reality Ledger","2;3;4;5;6;7","task signal; role map; action receipt; outcome metric",consumer subscription; employer wellbeing/productivity package,privacy and role separation,manual fallback and permission reset,PARTIAL
SchoolFamilyAI,Coordinate child school family support,"children; parents; educators; services","Reading Buddy; Outcome Ready; ConsentX; AHC; Research OS","1;2;3;4;5;6;7","guardian consent; school context; intervention receipt; learning outcome",school pilots; government grants; provider partnerships,minor safeguarding and school policy compliance,guardian escalation and intervention rollback,PARTIAL
Synal,Capture and interpret browser/context signal,"individuals; teams; researchers","MyNeuralSignal; ConsentX; Reality Ledger; LifeGraph+","2;3;4;5;6;7","signal provenance; consent receipt; interpretation trace; drift flag",browser extension; enterprise signal layer; research tooling,consent purpose limitation,disable capture and purge scoped data,PARTIAL
AHC,Human-facing coaching and intervention,"families; workers; learners; providers","LifeGraph+; ConsentX; Reality Ledger; Research OS","2;3;4;5;6;7","coach action receipt; intervention log; outcome measure",subscription; embedded assistant; services packaging,advice boundary and safety escalation,human handoff and content rollback,PARTIAL
Research OS,Turn hypotheses into evidence and products,"researchers; funders; partners; product teams","Humanity Atlas; Reality Ledger; Product Assembly Matrix","5;6;7","hypothesis card; experiment record; evidence chain; commercialisation decision",grants; sponsored research; product licensing,research ethics and evidence quality gates,retract claim and mark evidence invalid,PARTIAL
Humanity Atlas,Show portfolio as one graph of needs to outcomes,"all portfolio users; boards; partners","Integrity Stack; Reality Ledger; Research OS; Product Matrix","3;4;5;6;7","graph node receipt; relationship evidence; product mapping",strategic platform; partner navigation; investor/governance artefact,auditability and claim classification,remove unsupported node and ledger correction,PARTIAL
HoloOrg,Model organisations as living human-agent systems,"organisations; leaders; workforce teams","WorkFamilyAI; Neural Ennead; AHC; Reality Ledger","3;5;6;7","role map; workflow map; agent routing receipt; productivity outcome",consulting; SaaS; transformation package,workforce privacy and decision rights,restore human approval path,PARTIAL
GCBAT,Govern audit safety standards recovery,"boards; regulators; product owners","Reality Ledger; ConsentX; FAR-CAGE; Integrity Stack","3;4;5;6;7","audit event; risk classification; recovery validation; standards mapping",governance-as-a-service; audit packs; regulated implementation,regulatory/board accountability,trigger recovery and block unsafe loop,PARTIAL
FAR-CAGE,Cross-agency sovereign orchestration,"government; agencies; regulated enterprises","GCBAT; ConsentX; Reality Ledger; Policy Orchestrator","3;4;5;6;7","authority record; policy trace; cross-agency receipt; audit trail",government implementation; sovereign orchestration licensing,classification and agency authority,fail closed and rollback delegation,PARTIAL
MyNeuralSignal,Interpret human/context signal into action candidates,"individuals; researchers; assistive tech; providers","UBI; Synal; ConsentX; LifeGraph+","1;2;3;4;5","signal quality; interpretation trace; confidence score; drift record",API layer; assistive products; research licensing,sensitive data and consent-bound purpose,stop interpretation and mark drift/anomaly,PARTIAL
NEUROPAK,Route consented intent to human agent machine actions,"assistive tech; robotics; providers; organisations","MyNeuralSignal; ConsentX; RATPAK; Reality Ledger","2;3;4;5;6;7","intent trace; safety gate; routing receipt; invocation record",gateway licensing; robotics/assistive integration,safety gate and autonomy limits,fail safe and revoke route,PARTIAL
Reality Ledger,Distinguish REAL PARTIAL BLOCKED work,"all products; governance; delivery teams","Integrity Stack; Evidence Contract; Telemetry Contract","5;6;7","typed evidence; status receipt; gaps; score",platform core; audit services; governance packs,state truth enforcement,correct ledger row and downgrade claim,PARTIAL
