brand_slug,primary_archetype,hero_message_angle,primary_cta,nav_sections,content_engine,seo_cluster,social_primary,design_tone
ai4tradies,directory+community,Stop losing jobs to admin,Get your AI office manager,Home;How it works;Pricing;For Tradies;Blog,case studies + ROI calculators,plumber AI;electrician software;tradie admin,facebook,bold;practical;blue-collar
ai4professionals,registry+seo,Your AI-powered professional practice,Start your free audit,Home;For Accountants;For Lawyers;For Health;Pricing;Resources,compliance guides + benchmarks,accountant AI;lawyer software;practice automation,linkedin,professional;clean;authoritative
outcome-ready,enterprise+institutional,Operational intelligence for outcome-driven organisations,Book a governance audit,Home;Platform;For NDIS;For Enterprise;Evidence;Pricing,whitepapers + case studies,NDIS software;governance AI;outcome management,linkedin,enterprise;serious;evidence-led
augmented-memories,registry+community,Technology for memory and mind,Find a practitioner,Home;For Practitioners;For Families;Research;About,research summaries + practitioner stories,memory clinic AI;dementia support technology,linkedin;facebook,compassionate;clinical;hopeful
extreme-spotters,community+telemetry,The worlds most extreme weather community,Join the community,Home;Live Map;Leaderboard;Events;Community;Alerts,user-generated sightings + rankings,storm chasing australia;extreme weather community,instagram;tiktok,bold;adventurous;data-rich
apex-predator,behavioural+geo,Cover built for those who push limits,Get covered,Home;For Adventurers;Whats covered;Claims;Partners,adventure guides + partner stories,adventure insurance australia;extreme sports cover,instagram;facebook,rugged;authentic;bold
consentx,enterprise+institutional,Consent infrastructure for regulated industries,Request a demo,Home;Platform;Compliance;Security;Pricing;Partners,regulatory guides + compliance benchmarks,consent management australia;healthcare compliance,linkedin,clinical;secure;professional
myneruralsignal,community+seo,Understand your neural edge,Take the assessment,Home;Assessment;For Athletes;For Clinicians;Research;Pricing,performance content + research,neural performance;brain health assessment,instagram;youtube,performance;scientific;premium
ai-sweet-spots,seo+content,Find where AI creates the most value in your business,Start your free Sweet Spot audit,Home;The Research;Sweet Spot Finder;For Consultants;Blog,research reports + diagnostic tools,AI readiness assessment;AI ROI;where to use AI,linkedin,intellectual;credible;analytical
gems,institutional+enterprise,Redefining educational intelligence,Book a platform tour,Home;Platform;For Schools;For Universities;Research;Pricing,research + case studies,education AI;institutional intelligence,linkedin,academic;progressive;trusted
