component_id,pack_family,component_name,required,source_dependencies,owner,status,classification,validation_gate,output_path,notes
PACK-001,ATO submission,Executive and claim-control summary,yes,"financial reconciliation; CA1 submission",Troy Latter,PLACEHOLDER,BLOCKED,final figures locked,submission/ato-submission/,
PACK-002,ATO submission,Notification of revision,yes,SRC-002,Troy Latter,DRAFT,PARTIAL,legal/process questions resolved,submission/ato-submission/,
PACK-003,ATO submission,Revised CA1 response,yes,"SRC-003; research index; evidence register",Troy Latter,DRAFT,PARTIAL,all marked questions answered and evidence-bound,submission/ato-submission/,
PACK-004,R&D activity,Technical uncertainty and prior-art analysis,yes,study research index,Troy Latter,PLACEHOLDER,BLOCKED,contemporaneous search evidence or bounded reconstruction,submission/rd-activity/,
PACK-005,R&D activity,Hypothesis register,yes,primary activity records,Troy Latter,PLACEHOLDER,BLOCKED,falsifiable and dated,submission/rd-activity/,
PACK-006,R&D activity,Experiment and iteration chronology,yes,"commits; logs; deployments; study research",Troy Latter,PLACEHOLDER,BLOCKED,dated source-linked chronology,submission/rd-activity/,
PACK-007,R&D activity,Observations results and failures,yes,"telemetry; test outputs; failure logs",Troy Latter,PLACEHOLDER,BLOCKED,raw results independently readable,submission/rd-activity/,
PACK-008,R&D activity,Conclusions and new knowledge,yes,PACK-004..007,Troy Latter,PLACEHOLDER,BLOCKED,traceable to results,submission/rd-activity/,
PACK-009,Financial reconciliation,Labour reconciliation,yes,SRC-001,Troy Latter,REGISTERED,PARTIAL,modeled hours corroborated by dated evidence,submission/financial/,
PACK-010,Financial reconciliation,Non-labour reconciliation,yes,all six accounts,Troy Latter,IN_PROGRESS,PARTIAL,control totals and evidence binding reconcile,submission/financial/,
PACK-011,Evidence register,Exhibit index,yes,"source manifest; research index; gallery index",Troy Latter,PLACEHOLDER,BLOCKED,each exhibit has hash and readback,submission/exhibits/,
PACK-012,Governance,Supersession and contradiction ledger,yes,legacy packs,Troy Latter,PLACEHOLDER,PARTIAL,all invalid assertions mapped,registers/supersession_register.csv,
PACK-013,Governance,Gap and readiness report,yes,all registers,Troy Latter,PLACEHOLDER,BLOCKED,no silent gaps,submission/readiness/,
PACK-014,Governance,Director attestation,yes,all final packs,Troy Latter,PLACEHOLDER,BLOCKED,generated after lock and signed by authorised person,submission/attestation/,
PACK-015,Additional,[ADDITIONAL PACK OR ANNEXURE],no,,Troy Latter,PLACEHOLDER,BLOCKED,scope and evidence gate defined,submission/additional/,
PACK-016,Additional,[ADDITIONAL PACK OR ANNEXURE],no,,Troy Latter,PLACEHOLDER,BLOCKED,scope and evidence gate defined,submission/additional/,
