Mapping ID,Obligation Area,Business Requirement,CDAP Inputs,Controls,Evidence,Training,Generated Artefacts,Review,Status Logic,Source Anchor,Owner
OBL_001,AML/CTF Program governance,Document and maintain a risk-based AML/CTF program,Organisation; controls; risk workshop,Program governance; board approval,AML program; board resolution,Level 3 plus,AML Program A/B; Compliance Charter,Annual/material change,REAL when approved owner assigned and review scheduled,AUSTRAC AML/CTF program guidance,Compliance Officer
OBL_002,Risk assessment,Identify and assess ML/TF risks,Services; customers; geography; transactions; workshop,Enterprise risk assessment,Risk workshop notes; customer data,Level 3 plus,Enterprise Risk Assessment; Risk Appetite Statement,Annual/material change,PARTIAL if data incomplete or workshop unsigned,AUSTRAC risk assessment guidance,Principal
OBL_003,Customer Due Diligence,Know and verify customers and beneficial owners,Ownership; customer profile; services,CDD procedure; BO verification,ID docs; ASIC extract; trust deed,Level 2,CDD Procedure; BO Register; CDD Register,Ongoing/event triggered,BLOCKED if required identity evidence missing,AUSTRAC CDD guidance,Compliance Officer
OBL_004,Enhanced Customer Due Diligence,Apply enhanced controls for high-risk cases,High-risk flags; geography; transactions,EDD procedure; approvals,EDD file; source of funds/source of wealth evidence,Level 2/3,EDD Procedure; High-Risk Customer Register,Triggered/quarterly,BLOCKED if high-risk flag has no EDD action,AUSTRAC EDD guidance,Compliance Officer
OBL_005,Ongoing Customer Due Diligence,Monitor customer risk over time,Customer profile; transactions; technology,Ongoing monitoring schedule,Monitoring logs,Level 2,Ongoing CDD Procedure; Monthly Monitoring Schedule,Monthly/triggered,PARTIAL if monitoring has no evidence log,AUSTRAC ongoing CDD guidance,Operations
OBL_006,PEP and screening controls,Identify PEP and sanctions exposure,Ownership; customer profile; geography,Screening and escalation,Screening logs,Level 2/3,PEP Register; Sanctions Register,Ongoing/triggered,BLOCKED if status unknown for high-risk parties,AUSTRAC PEP and sanctions guidance,Compliance Officer
OBL_007,Source of funds and wealth,Understand source of funds and source of wealth for risk triggers,Money movement; transactions; customer type,SOF/SOW procedure,Bank records; sale contracts; declarations,Level 2/3,SOF/SOW Procedure; SOF/SOW Register,Triggered,PARTIAL if evidence collected but not assessed,AUSTRAC SOF/SOW guidance,Practitioner
OBL_008,Training and personnel controls,Train relevant personnel and keep evidence,Staff; roles; authorities,Role-based training,Certificates; assessments; declarations,Levels 1-3 plus,Training Matrix; Training Register,Annual/new starter,REAL when all required training is complete and evidenced,AUSTRAC AML/CTF training guidance,HR/Compliance
OBL_009,Record keeping,Keep compliance records retrievable,Evidence checklist; technology,Evidence repository; retention schedule,Evidence index; logs; approvals,Level 1/2,Evidence Register; Audit Pack,Annual/continuous,PARTIAL if evidence exists but location or expiry not tracked,AUSTRAC record keeping guidance,Operations
OBL_010,Review and update,Review and update program,Annual calendar; controls; workshop,Annual review process,Review minutes; updated program,Level 3 plus,Annual Review Checklist; Policy Update Log,Annual/material change,BLOCKED if review overdue for high-risk operations,AUSTRAC review/update guidance,Compliance Officer
OBL_011,Independent evaluation,Arrange independent evaluation appropriate to risk,Independent review; calendar,Independent review plan,Review report; action register,Level 3 plus,Independent Review Toolkit,1-3 years/risk-based,PARTIAL until review scheduled or completed,AUSTRAC independent evaluation guidance,Board Sponsor
OBL_012,Transition existing customers,Uplift legacy customer records by risk,Legacy count; CDD status; evidence,Transition plan,Legacy CDD register,Level 2/3,Legacy Customer Transition Plan,Risk-prioritised,BLOCKED for high-risk legacy customers with no remediation plan,AUSTRAC transitioning existing customers guidance,Compliance Officer
