section,item,detail,status,owner,priority,next_action
Dashboard,Working model,"HoloOrg Patterns = open/free reference architecture. Holo-Org Commercial = paid platform, deployment, governance, transformation, managed operations.",READY,Pen,WAVE10,"Convert to site, pricing, product, evidence and deployment tasks"
Dashboard,Primary deliverable,"Commercial Launch Matrix + Site Placement Map + Gap Addendum + Evidence Hierarchy + Pricing Ladder + BYO Variants + Simulation + Blockers",READY,Pen,WAVE10,"Use as source of truth for holo-org.com launch cleanup"
Dashboard,Google Sheet shell,"https://docs.google.com/spreadsheets/d/1I9-pmSZqc5oG_IEnIA0lOWWN1TDrMzAzBebQnv9DZ7o/edit?usp=drivesdk",PARTIAL,Pen,HIGH,"Do not rely on sheet write path; CSV handoff is canonical fallback"
Pricing Ladder,Residential,"$19-$149/mo; setup $0-$250; BYO $9-$79/mo; one-off packs $29-$247",READY,Commercial,HIGH,"Create site card and checkout/lead path"
Pricing Ladder,Small,"$149-$1,500/mo; setup $250-$2,500; BYO $99-$499/mo; workflow add-ons $49-$300",READY,Commercial,HIGH,"Create industry/team bundle cards"
Pricing Ladder,Mid,"$2,500-$20,000/mo; setup $5k-$40k; function bundles $8k-$25k/mo; industry bundles $15k-$40k/mo",READY,Commercial,HIGH,"Route to design session and quote"
Pricing Ladder,10 x Mid,"$25k-$250k+/mo; setup $50k-$500k+; transformation $300k-$3M+",READY,Commercial,HIGH,"Route to enterprise/procurement"
Pricing Ladder,100-Agent Pilot,"$15k-$75k setup plus $2.5k-$15k/mo; 4-8 week deployment",READY,Commercial,WAVE10,"Add as flagship implementation package"
Pricing Ladder,1,000-Agent Transformation,"$150k-$750k setup plus $20k-$100k/mo; 3-6 month deployment",READY,Commercial,WAVE10,"Add enterprise transformation path"
Pricing Ladder,10,000-Agent Holarchy,"$750k-$5M+ setup plus $100k-$500k+/mo; 12-18 month deployment",READY,Commercial,WAVE10,"Treat as strategic program, not SaaS subscription"
Offer Family,Open Patterns,"Free/open HoloOrg reference architecture and pattern language",READY,Product,HIGH,"Use as trust and lead-gen layer"
Offer Family,Starter Agents and Packs,"One-off packs, personal/small workflow automations, training accelerators",READY,Product,HIGH,"Build catalog filters by tier, duration, difficulty"
Offer Family,Platform,"Marketplace, role analyzer, orchestration, dashboards, governance, monitoring",READY,Product,HIGH,"Separate platform fee from product/service fees"
Offer Family,Deployment,"Setup, migration, integrations, Lambda/Supabase/runtime, BYO support",READY,Delivery,HIGH,"Create deployment packages and setup price bands"
Offer Family,Transformation,"Org mapping, role-to-agent conversion, decision holarchy, operating model redesign",READY,Delivery,WAVE10,"Create executive offer page"
Offer Family,Managed Ops,"Ongoing support, optimisation, evidence packs, governance reviews, cost monitoring, performance reporting",READY,Ops,WAVE10,"Price as retainer or 15-30% annualized program value"
BYO,BYO LLM,"Customer brings OpenAI, Anthropic, Gemini, Grok, local model or mixed access",READY,Product,HIGH,"Charge orchestration/governance/reporting/support"
BYO,BYO Cloud,"Customer hosts in AWS/Azure/GCP/private/sovereign cloud",READY,Delivery,HIGH,"Charge architecture, deployment, support and governance"
BYO,BYO Data,"Customer uses own data lake, vector store, database or files",READY,Delivery,HIGH,"Charge data mapping, access, provenance and compliance"
BYO,BYO Automation,"Customer brings n8n, Make, Zapier, internal workflow or MCP stack",READY,Delivery,HIGH,"Charge integration and orchestration support"
Site Placement,Homepage,"Lead with move from random AI tools to governed AI workforces",READY,Web,HIGH,"Add free patterns, diagnostics, starter packs, 100-agent pilot, 1k and 10k programs"
Site Placement,Pricing,"Separate start small, build team, 100-agent pilot, division transformation, holarchy, BYO and governance",READY,Web,HIGH,"Replace unclear SaaS-only table"
Site Placement,Product Catalog,"Filter by tier, industry, function, delivery surface, BYO/managed, maturity, proof",READY,Web,HIGH,"Stop relying on broken hidden modal"
Site Placement,Enterprise,"Lead with humans in command, audit trails, consent, decision rights, escalation, deployment patterns",READY,Web,WAVE10,"Route to proposal/procurement"
Site Placement,Buyer Routes,"Business, Technical and Governance routes",READY,Web,HIGH,"Create three enterprise paths"
Gap,Open vs paid boundary,"README says HoloOrg Patterns is not a product; commercial product must be separately positioned",READY,Product,CRITICAL,"Public/free vs paid boundary must be visible"
Gap,Case study claims,"BlueScope, Unisys, Cross River Rail claims need Reality Ledger evidence and permission before public use",BLOCKED,Legal/Proof,CRITICAL,"Classify REAL/PARTIAL/PRETEND before publishing"
Gap,Website modal,"Screenshot shows route/product modal issue and no visible products",BLOCKED,Web,CRITICAL,"Fix capacity-products route and product loader"
Gap,CTA dead ends,"Extracted CTAs include # destinations",BLOCKED,Web,HIGH,"Replace all # CTAs with buy/book/quote/proposal routes"
Gap,Audit folder weak,"website-audit folder currently shallow; only mac-site-roots and system files visible",PARTIAL,Ops,MEDIUM,"Treat as low-confidence evidence until more audit outputs exist"
Gap,SQL unreadable via connector,"migration.sql exists but fetch failed due unsupported mimetype",PARTIAL,Data,MEDIUM,"Use Drive/download/Bridge to inspect before quoting schema"
Gap,Local machine dependency,"mac-site-roots suggests local Mac dependency",PARTIAL,Ops,HIGH,"Make audit/deploy path portable"
Evidence,Strong,"Uploaded zip/csv/product audit, screenshot, Drive holoorg deployment artifacts, README patterns",READY,Proof,HIGH,"Use for internal launch model"
Evidence,Medium,"Folder structure, pattern repo presence, broad Drive docs",READY,Proof,MEDIUM,"Use directionally"
Evidence,Low,"Website-audit folder as currently visible",PARTIAL,Proof,LOW,"Do not rely as full audit source"
Simulation,Conservative,"Monthly equivalent $33k-$107k depending 10x Mid close timing",READY,Commercial,MEDIUM,"Use for scenario planning only"
Simulation,Stronger launch,"Monthly equivalent $114k-$340k plus setup/services revenue",READY,Commercial,MEDIUM,"Use for planning not forecast claim"
Bridge Payload,Intent,"Complete Holo-Org commercial launch matrix, pricing, placement, evidence and gap addendum; handoff to Pen for execution",READY,Bridge,WAVE10,"Create issue receipt and resync"
Keys Needed,Production writes,"Keys only required for live deployment, Stripe, private env, production Supabase/GitHub writes beyond available connector",BLOCKED,Owner,KEYS,"Escalate only when execution requires credentials"
