brand_slug,audience_sophistication,pricing_tier,monthly_price_aud,annual_price_aud,model,rationale
ai4tradies,low-medium,entry,49,490,per-seat-SaaS,Price sensitivity high; solo tradies; entry price critical
ai4professionals,medium-high,mid,149,1490,per-seat-SaaS,Professionals pay for compliance/time savings
outcome-ready,high,enterprise,2000,20000,contract,Enterprise procurement; compliance value
augmented-memories,medium,mid,99,990,per-seat+platform,Mix of practitioner + platform fees
consentx,high,enterprise,3000,30000,contract,Compliance/regulatory; high value per org
myneruralsignal,low-medium,consumer,29,290,subscription,Consumer subscription; volume model
extreme-spotters,low,freemium,0/9,0/90,freemium+premium,Community first; premium data/alerts tier
apex-predator,low,referral,0,0,commission,Insurance referral model; no direct SaaS
ai-sweet-spots,medium,research,299,2990,report+SaaS,Research product + tool combo
gems,high,institutional,5000,50000,contract,Education institutional; high contract value
factor,high,platform,500,5000,platform,Internal tool becoming product
gateway,high,platform,500,5000,api-usage,API/integration pricing model
mri,high,enterprise,1000,10000,contract,Reporting + evidence; enterprise value
