harvest_id,source_system,source_title,source_type,source_url_or_path,source_file_id,source_version_or_ref,updated_or_commit,domain,reported_row_or_object_count,reported_sheet_or_field_count,reality_state,canonical_role,preservation_action,duplicate_policy,evidence_summary,next_extraction_action,owner,last_verified,notes
HARV-0001,Google Drive,OutcomeReady Canonical Product Registry v6,Google Sheet,https://docs.google.com/spreadsheets/d/1J4YQdZxs5OQaCYfEdEMvTd7qZpc2ZgxQFPRLyZMLltM,1J4YQdZxs5OQaCYfEdEMvTd7qZpc2ZgxQFPRLyZMLltM,v6,2026-07-23,Products / pricing / agents,1716,111,PARTIAL,Primary product registry source,Snapshot and map,Preserve all versions; alias only after comparison,"Single source of truth claim for products, modules, features, agents, sessions, reports, routes, pricing and curriculum.",Extract sheet inventory and row-level source IDs,Unassigned,2026-07-26,Workbook coverage reported REAL; runtime remains PARTIAL.
HARV-0002,Google Drive,CommercialOS AI Add-ons Catalogue Expansion Workbook v1,Google Sheet,https://docs.google.com/spreadsheets/d/1oJBaJrBB0YGWpbytWEoJsTE0BV1gLS3yiW3W7jS-j44,1oJBaJrBB0YGWpbytWEoJsTE0BV1gLS3yiW3W7jS-j44,v1,2026-07-07,Commercial / add-ons,500,0,PARTIAL,AI add-on expansion source,Snapshot and map,Do not collapse add-ons into generic fees,"Built to expand from seed toward 500–2,000 AI add-ons using commercial atoms, capabilities, rules and evidence.",Extract every add-on and commercial relationship,Unassigned,2026-07-26,Reported count is target/minimum framing; not verified final row count.
HARV-0003,Google Drive,Research Asset Register + Service Catalogue Control Plane,XLSX,https://drive.google.com/file/d/1Svnj6T0ujJtVAuvGBIZ9s_eSIF0hMkRe,1Svnj6T0ujJtVAuvGBIZ9s_eSIF0hMkRe,v1,2026-07-07,Research / services / assets,0,0,PARTIAL,Research and service catalogue spine,Snapshot and map,"Keep research, product, surface, system and governance object classes distinct","One registry spine; many views. REAL requires runtime receipt, source pointer, owner, verification and evidence linkage.",Extract registry schemas; asset families; reconciliation jobs,Unassigned,2026-07-26,Counts require source extraction.
HARV-0004,Google Drive,AI4Tradies Product Catalogue and Roadmap v1.0,XLSX,https://drive.google.com/file/d/1nFALVG88GeGjomxYHDtRVeCXmUFCLZ0J,1nFALVG88GeGjomxYHDtRVeCXmUFCLZ0J,v1.0,2026-06-29,Products / roadmap,0,0,PARTIAL,AI4Tradies canonical product source,Snapshot and map,Retain historical prices and maturity states,"Four pillars: Work, Trust, Intelligence and Growth with flagship product families and commercial roles.",Extract products; features; pricing; maturity; dependencies,Unassigned,2026-07-26,Do not choose between conflicting pricing models until reconciled.
HARV-0005,Google Drive,T4H 28 Business Product Price Matrix First Pass,XLSX,https://drive.google.com/file/d/1eiiXDhcxSt0UWB2-7TnKm-xEfQdPPs81,1eiiXDhcxSt0UWB2-7TnKm-xEfQdPPs81,first pass,2026-03-11,Businesses / products / prices,0,16,PARTIAL,Cross-portfolio commercial matrix,Snapshot and map,Keep evidence type and confidence per row,"Structured by business, product, product type, displayed price, currency, min/max, billing period, evidence and source.",Extract all rows and reconcile business aliases,Unassigned,2026-07-26,Contains priced and named-unpriced offers.
HARV-0006,Google Drive,T4H Catalogue Reconciliation,DOCX,https://drive.google.com/file/d/1dTs9NTIODT3Gqp_J-GXzYL3H87KR4Adn,1dTs9NTIODT3Gqp_J-GXzYL3H87KR4Adn,2026-03-09,2026-03-09,Products / Stripe,137,168,PARTIAL,Commercial wiring evidence,Preserve as reconciliation evidence,Do not interpret null Stripe IDs as missing products,"Reports 137 SKUs, 168 price rows, 23 pricing catalogue rows, 49 HoloOrg products and 147 HoloOrg price rows.",Bind each reported count to extracted source table rows,Unassigned,2026-07-26,OutcomeReady reported as only live Stripe-linked business at that date.
HARV-0007,Google Drive,OIKOS Master Registry & Architecture v3,Google Sheet,https://docs.google.com/spreadsheets/d/1996ASDiP7cOX79KN3rCsMHPWxK7qupPCAetYAHTEmAM,1996ASDiP7cOX79KN3rCsMHPWxK7qupPCAetYAHTEmAM,v3,2026-07-14,Portfolio / architecture,0,0,REAL,Preservation and reconciliation authority,Snapshot and map,Never delete source evidence,"Doctrine: reuse first, preserve provenance, merge by canonical concept rather than worksheet title.",Extract source snapshots; canonical mappings; maturity model,Unassigned,2026-07-26,Control source for lossless reconciliation.
HARV-0008,Google Drive,OIKOS Portfolio Canonical Registry v5 MERGED CAUGHT UP,XLSX,https://drive.google.com/file/d/1SOSiF6pXlQ4vXkqdZEhKnk80XGXuUB_6,1SOSiF6pXlQ4vXkqdZEhKnk80XGXuUB_6,v5,2026-06-30,Portfolio / pricing / graph,54,60,PARTIAL,Portfolio registry source,Snapshot and map,Preserve four merged workbook lineages,"54 seeded portfolio items across 60 sheets with business lens, relationship graph, pricing/SKU and completion plan.",Extract portfolio entities; graph edges; source-workbook lineage,Unassigned,2026-07-26,Architecture frozen; implementation status varies.
HARV-0009,Google Drive,Canonical Operating Registry v6 Structural Reconciled Complete,XLSX,https://drive.google.com/file/d/1obLcnwWDbqmANxr806DszKWt_GY56BmR,1obLcnwWDbqmANxr806DszKWt_GY56BmR,v6,2026-07-01,Operating model / runtime generation,0,0,REAL,Enterprise operating registry,Snapshot and map,Maintain finite concepts and relationship complexity,"Designed to generate CRM, automation, journeys, workflows, finance, compliance, AI, APIs, docs, dashboards and runtime orchestration.",Extract canonical tables; relationships; generation contracts,Unassigned,2026-07-26,Workbook generation is REAL; generated runtime outputs need separate proof.
HARV-0010,Google Drive,CommercialOS Capability Registry v0.3 GAP FILLED,Google Sheet,https://docs.google.com/spreadsheets/d/1wP3KLrA-BBkL-XvD26usE_R8pv7gz7NtWYPoVLakn2U,1wP3KLrA-BBkL-XvD26usE_R8pv7gz7NtWYPoVLakn2U,v0.3,2026-06-28,Capabilities / services / bundles,0,0,PARTIAL,Commercial capability source,Snapshot and map,Use atomic registry as centre; other sheets are views,"Canonical master tables include Atomic Registry, Capabilities, Products, Services, Bundles, OEMs, People, Partners, Measures and Forms.",Extract atomic objects and relationship keys,Unassigned,2026-07-26,Source attachments may need re-verification.
HARV-0011,Google Drive,HoloOrg Agent Dossier v2.0,Markdown,https://drive.google.com/file/d/1Y32Wm1Uyf-8w6qSTlVlYcwBgoQuT2hiy,1Y32Wm1Uyf-8w6qSTlVlYcwBgoQuT2hiy,v2.0,2026-03-08,Agents / workers / dossiers,0,0,REAL,Agent dossier authority,Preserve template and instantiated dossiers,Do not merge dossier fields into worker rows without references,"Defines each dossier as contract, brain, ledger and kill-switch.",Extract dossier schema; lifecycle; controls; evidence fields,Unassigned,2026-07-26,Canonical status reported in source.
HARV-0012,Google Drive,March T4H MCP + Agent Handover Master Register,XLSX,https://drive.google.com/file/d/1gJmU4hdc3x8qjXJOTtsMmzgzP8Ho4r_S,1gJmU4hdc3x8qjXJOTtsMmzgzP8Ho4r_S,March 2026,2026-03-08,Connectors / agents / runtime,0,10,PARTIAL,Technology and worker capability source,Snapshot and map,Keep connector variants until health and overlap resolution,"Contains connector roles, required/preferred capabilities, write controls, overlaps, health checks and evidence classes.",Extract every connector and bind to runtime and worker registries,Unassigned,2026-07-26,Several connectors explicitly PRETEND/PARTIAL.
HARV-0013,Google Drive,T4H IP OS v3 Connector-Grounded Recovery Ledger,XLSX,https://drive.google.com/file/d/1uR3TbmG2YaG0wrbgu3sine6si-trGiYr,1uR3TbmG2YaG0wrbgu3sine6si-trGiYr,v3,2026-06-21,IP / assets / repositories,810,0,PARTIAL,IP and source recovery index,Snapshot and map,Retain all sampled and unverified source claims,"References 810 assets, 50 sampled GitHub repositories and 11 crown repositories; calls for full pagination and file-level scoring.",Import asset ledger and complete repository inventory,Unassigned,2026-07-26,Full estate not yet verified.
HARV-0014,Google Drive,T4H Research Master Theme Workbook v1.0,Google Sheet,https://docs.google.com/spreadsheets/d/12Ib2uav-w7F20tXUrUvIzK-ePEfczI3tmWAUOngH7o8,12Ib2uav-w7F20tXUrUvIzK-ePEfczI3tmWAUOngH7o8,v1.0,2026-07-18,Research taxonomy,210,7,PARTIAL,Research structural control,Snapshot and map,Preserve 49; 90; 117; 152 and 343 historical models,"Canonical working shell of 7 themes × 30 slots; missing evidence stays REQUIRES SOURCE RECOVERY.",Extract all slots and historical mapping references,Unassigned,2026-07-26,Structure only; not evidence completion.
HARV-0015,Google Drive,Research Topics and Subtopics Reconciliation v2.0,DOCX,https://drive.google.com/file/d/1Wx8V2gc0ZtMzhOC4wRikhQUEu0mIZx7Q,1Wx8V2gc0ZtMzhOC4wRikhQUEu0mIZx7Q,v2.0,2026-07-07,Research taxonomy,152,50,PARTIAL,Research reconciliation source,Snapshot and map,Exclude products unless the underlying research object is explicit,"Safest current answer reported as 50 research buckets and approximately 152 research units.",Extract bucket/unit rows; exclusions; carpark items,Unassigned,2026-07-26,Messy shape deliberately preserved.
HARV-0016,Google Drive,T4H Research Completion Recovery Control v1,Google Sheet,https://docs.google.com/spreadsheets/d/1q1JA3C9CcSE_NuNNokZ69t08CuVqMMmdSua1pMbljwE,1q1JA3C9CcSE_NuNNokZ69t08CuVqMMmdSua1pMbljwE,v1,2026-07-14,Research completion / evidence,0,0,PARTIAL,Research recovery authority,Snapshot and map,Recover and reconcile rather than rebuild,"Strongest base combines Research Genome, Research Intelligence Register, RDTI claim matrix, SoI seed and topics reconciliation.",Extract recovered sources; gaps; owners; evidence requirements,Unassigned,2026-07-26,Primary gaps are evidence binding and count reconciliation.
