Priority,Wave,Category,Brand / Surface,Canonical URL,GitHub Candidate(s),Lovable Candidate(s),Observed State,Known Dependencies,Migration Decision,Evidence Confidence,Reason / Next Gate,Audit Status,Chosen Source,S3/CloudFront Target,DNS Cutover Approved,Visual Approval,Receipt Status
0,W0,Research / public,T4H Research Hub,https://d3n1vtskllsjf4.cloudfront.net,TML-4PM/t4h-research-hub,,REAL on S3/CloudFront,Static HTML + JSON,ALREADY_MIGRATED,VERIFIED,Keep as reference implementation; add custom domain later.,NOT_STARTED,,,NO,NO,PARTIAL
1,W1,Revenue-first,AI4Tradies,https://ai4tradies.org,TML-4PM/ai4tradies,SOURCE_PENDING,Known working S3 proof exists; source variants still require reconciliation,Lead forms / analytics / booking,AUDIT_THEN_STATICISE,HIGH,First commercial release; preserve current working production while repairing campaign and sales surfaces.,NOT_STARTED,,,NO,NO,PARTIAL
2,W1,Revenue-first,Outcome Ready,https://outcome-ready.com,TML-4PM/outcome-ready,SOURCE_PENDING,GitHub matched; public source/version unresolved,"Potential forms, pricing, AssureME routes",AUDIT_THEN_STATICISE,MEDIUM,Core commercial platform; separate static marketing surface from dynamic evidence workflows.,NOT_STARTED,,,NO,NO,PARTIAL
3,W1,Revenue-first,Enter Australia,https://enteraustralia.tech,TML-4PM/enter-australia,https://enter-australia.lovable.app,Published Lovable and matching GitHub,"Payments, scheduling, lead automation",STATIC_SHELL_REWIRE,HIGH,Strong exact cross-platform match; external services must be tested before cutover.,NOT_STARTED,,,NO,NO,PARTIAL
4,W1,Core business,Augmented Humanity Coach,https://augmentedhumanity.coach,TML-4PM/augmented-humanity-coach,https://augmented-humanity-coach.lovable.app,Published Lovable and matching GitHub; Drive registry has stale canonical variant,Supabase auth/forms; Stripe links,STATIC_SHELL_REWIRE,HIGH,Marketing pages can move; auth/contact database flows require retained runtime or replacement.,NOT_STARTED,,,NO,NO,PARTIAL
5,W1,Core business,WorkFamilyAI,https://workfamilyai.org,TML-4PM/workfamilyai; TML-4PM/workfamilyai-one-click-augmentation,https://workfamilyai.lovable.app,Published Lovable; two GitHub candidates,Interactive org chart / possible data services,MERGE_VARIANTS_THEN_STATICISE,HIGH,Choose canonical source and preserve one-click augmentation IP as supporting material.,NOT_STARTED,,,NO,NO,PARTIAL
6,W1,Core business,HoloOrg,https://holo-org.com,TML-4PM/holo-org; TML-4PM/holoorg,https://holo-org.lovable.app; https://holoorg.lovable.app,Two Lovable and two GitHub variants,Airtable/chat integrations in one variant,MERGE_VARIANTS,HIGH,"Do not migrate both independently; select product site, archive old five-page site, preserve integration code.",NOT_STARTED,,,NO,NO,PARTIAL
7,W1,Revenue-first,Reading Buddy / ReadingMate,SOURCE_PENDING,TML-4PM/reading-buddy; TML-4PM/readingmate,SOURCE_PENDING,Two GitHub variants; canonical domain unresolved,Potential education workflow/data,MERGE_AND_DEFINE_CANONICAL,MEDIUM,Select one brand and domain before deployment.,NOT_STARTED,,,NO,NO,PARTIAL
8,W1,Revenue-first,ThrivingOS,SOURCE_PENDING,SOURCE_PENDING,SOURCE_PENDING,Named in release spine but source mapping unresolved,Likely provider/child-family workflows,SOURCE_DISCOVERY,LOW,No cutover until registry row and source are proven.,NOT_STARTED,,,NO,NO,PARTIAL
9,W1,Revenue-first,AI for Professional Services / Hales Reden,SOURCE_PENDING,TML-4PM/T4HUnsolicitored2HalesRedden,SOURCE_PENDING,GitHub proof/demo source found,Unknown,AUDIT_DEMO_AND_PRODUCTISE,MEDIUM,"Treat as B2B demo and offer surface, not a standalone brand until naming is resolved.",NOT_STARTED,,,NO,NO,PARTIAL
10,W1,Revenue-first,AquaMe,https://aquame.com.au,TML-4PM/aquame,SOURCE_PENDING,GitHub matched; DNS historically external/Squarespace,Unknown,AUDIT_EXTERNAL_HOST_AND_SOURCE,MEDIUM,Do not overwrite current DNS until external site and GitHub version are compared.,NOT_STARTED,,,NO,NO,PARTIAL
11,W1,Revenue-first,Augmented Memories,https://augmentedmemories.org,TML-4PM/augmented-memories,SOURCE_PENDING,GitHub matched,Potential uploads/private memories,STATIC_MARKETING_PLUS_DYNAMIC_REVIEW,MEDIUM,Public marketing can be static; private memory features must remain protected.,NOT_STARTED,,,NO,NO,PARTIAL
12,W2,Governance platform,ConsentX,https://consentx.org,TML-4PM/consent-x; TML-4PM/consentx,https://consent-x.lovable.app,Multiple GitHub variants and published Lovable,"Identity, consent chains, blockchain/verification",DYNAMIC_REVIEW_BEFORE_STATIC,HIGH,Known product logic is not purely static; split public site from application runtime.,NOT_STARTED,,,NO,NO,PARTIAL
13,W2,Governance demo,ConsentX Westpac Demo,DEMO_ONLY,TML-4PM/consentx-westpac-demo1,https://consentx-westpac-demo1.lovable.app,Exact published match,Identity/trust-token demo,PRESERVE_AS_DEMO,HIGH,Keep separate from canonical ConsentX; deploy behind clear demo labeling.,NOT_STARTED,,,NO,NO,PARTIAL
14,W2,Governance platform,LifeGraph Plus,SOURCE_PENDING,SOURCE_PENDING,SOURCE_PENDING,Named in release spine; source unresolved,Likely sensitive longitudinal data,SOURCE_DISCOVERY,LOW,Do not assume static because data sensitivity is central.,NOT_STARTED,,,NO,NO,PARTIAL
