Issue ID,Domain,Issue / Failure,Priority,State,Detection Signal,Detection Tool,Likely Cause,Automated Fix,Fallback / Recovery,Mode,Authority Required,Verification,Receipt / Evidence,Frequency,Owner Worker,Dependencies,Known Status,Next Action
ERR-001,EC2 Runtime,MCP service not running,P0,BLOCKED,"No process, port or heartbeat",SSM + process probe,Service not installed or stopped,Install/restart systemd service; health probe,Redeploy known-good release,AUTO_WITH_GUARDRAIL,Deploy/restart service,tools/list + health + restart test,"command log, service status, endpoint receipt",5 min,Runtime Repair Worker,"SSM, IAM, package, config",Known historical blocker,Inspect current EC2 and create repair job
ERR-002,EC2 Runtime,Docker unavailable where deployment assumes containers,P0,BLOCKED,docker command absent,SSM inventory,Package not installed,Install Docker and enable service,Use native systemd deployment,AUTO_WITH_GUARDRAIL,Package install,docker info + restart,installation receipt + version,daily,Runtime Repair Worker,SSM sudo authority,Known historical blocker,Confirm deployment model before install
ERR-003,Network,No HTTP/HTTPS listener,P0,BLOCKED,Port probe fails,Network probe + SSM,Service absent/misconfigured,Start service and bind private port,Rollback config,AUTO_WITH_GUARDRAIL,Service/config write,local curl + external probe,port/listener receipt,5 min,Runtime Repair Worker,runtime service,Known historical blocker,Discover intended port and endpoint
ERR-004,DNS,Configured runtime hostname is invalid/NXDOMAIN,P0,BLOCKED,DNS resolution fails,DNS checker,Wrong or unowned domain,Create valid Route53 record under owned domain,Use private/internal endpoint,HITL,DNS write authority,dig + TLS + application probe,DNS change receipt,hourly,Endpoint Worker,"owned domain, Route53",Known historical blocker,Replace tech4humanity.ai reference
ERR-005,IAM,SSM StartSession denied,P0,BLOCKED,AccessDenied,AWS IAM analyzer,Missing operator/runtime policy,Attach least-privilege SSM permissions,Use automation execution role,HITL,IAM write approval,successful session + CloudTrail,policy diff + CloudTrail receipt,daily,IAM Repair Worker,AWS admin authority,Known historical blocker,Generate least-privilege policy
ERR-006,Security Group,No required inbound path or private routing,P0,BLOCKED,Endpoint unreachable,AWS config checker,Empty/incorrect rules,Create least-privilege SG rule or ALB path,Use SSM tunnel/private network,HITL,Network security approval,reachability analyzer + probe,SG diff + probe receipt,hourly,Network Repair Worker,VPC/ALB design,Known historical blocker,Determine private vs public exposure
ERR-007,Bridge,Bridge tools fail with generic error,P0,BLOCKED,Uniform tool invocation failure,Bridge synthetic tests,Gateway/Lambda/auth mismatch,Trace initialize/tools/list and repair failing dependency,Fail over to direct connector,AUTO_WITH_GUARDRAIL,Runtime/config write,successful synthetic workflow,trace ID + logs + output receipt,5 min,Bridge Repair Worker,API Gateway/Lambda/auth,Known historical blocker,Run end-to-end synthetic trace
ERR-008,MCP,tools/list returns null,P0,BLOCKED,jq cannot iterate result.tools,MCP contract test,JSON-RPC error or wrong endpoint,Capture full response; fix method/transport/auth; validate schema,Use direct tool registry snapshot,AUTO_WITH_GUARDRAIL,Config/code write,initialize then tools/list schema pass,raw response + test receipt,5 min,MCP Contract Worker,reachable endpoint,Known observed failure,Stop piping to jq until response validated
ERR-009,MCP,Tool catalogue changes or tools disappear,P1,PARTIAL,Diff against last verified catalogue,Registry diff worker,Provider drift/version/auth,Refresh registry; reauthenticate; quarantine incompatible tools,Route to alternate worker,AUTO,Registry write,tool smoke tests,catalogue diff + test receipt,hourly,Capability Registry Worker,tool discovery,Required,Implement catalogue snapshots
ERR-010,MCP,Tool schema changes break callers,P0,ASPIRATIONAL,Contract test fails,Schema diff worker,Provider upgrade,Generate compatibility adapter; pin version,Quarantine provider version,AUTO_WITH_GUARDRAIL,Code/config write,contract suite,schema diff + adapter test,on change,Contract Repair Worker,schema registry,Required,Add contract testing
ERR-011,Runtime,No automatic restart or watchdog,P0,ASPIRATIONAL,Service remains failed after health alarm,Health controller,No systemd/ECS policy,"Configure restart, backoff, circuit breaker",Fail over worker/provider,AUTO,Service policy write,kill-and-recover test,recovery drill receipt,weekly drill,Recovery Worker,service manager,Required,Create restart policy
ERR-012,Runtime,No checkpoint/resume state,P0,ASPIRATIONAL,Interrupted job restarts from zero,Job controller,No durable checkpoints,Persist state and resume token after each stage,Restart from last durable artifact,AUTO,State store write,forced interruption test,checkpoint/replay receipt,per job,Job Runtime Worker,database/object storage,Required,Define checkpoint contract
ERR-013,Runtime,No dead-letter queue,P0,ASPIRATIONAL,Repeated failures vanish or loop,Queue monitor,Queue not implemented,Move exhausted jobs to DLQ with reason,Quarantine and escalate,AUTO,Queue write,poison-job test,DLQ receipt,continuous,Queue Worker,queue service,Required,Implement DLQ
ERR-014,Evidence,Action has no receipt,P0,PARTIAL,No receipt linked to execution ID,Receipt validator,Worker did not emit evidence,Fail job; reconstruct from logs where safe,Mark PARTIAL and re-run,AUTO,Ledger write,receipt schema validation,signed receipt,per execution,Receipt Worker,"ledger, telemetry",Known systemic issue,Make receipt mandatory
ERR-015,Telemetry,Change occurred without telemetry/readback,P0,PARTIAL,Write event without observed state,Telemetry reconciler,Instrumentation gap,Run readback and emit observed state,Rollback unverifiable change,AUTO_WITH_GUARDRAIL,Read/rollback authority,expected vs observed match,telemetry reconciliation receipt,per execution,Verification Worker,target system read access,Known systemic issue,Enforce write-read-verify
