Name,Category,Summary,Canonical Value,Status,Source / Notes,Use Next Time,Owner,Last Confirmed,Version,Tags,System / Surface,Lookup Key,Effort Level,Confidence,Stage,Usage Count,Last Used,Automation Eligible,Source Type
SQL execution Lambda,Data,Correct Lambda function name for SQL execution through the bridge,troy-sql-executor,Active,Confirmed from working internal docs and examples,Yes,Troy / ChatGPT,2026-04-07,1.0,"lambda,sql,bridge",Bridge,sql_execution_lambda,Low,Proven,CRITICAL,1,2026-04-07,Yes,Manual
Bridge invoke endpoint,Infra,Canonical API Gateway endpoint for invoking bridge-connected Lambdas,https://zdgnab3py0.execute-api.ap-southeast-2.amazonaws.com/prod/lambda/invoke,Active,UPDATED 2026-05-22: old endpoint m5oqj21chd is dead. New canonical endpoint confirmed working.,Yes,Troy / ChatGPT,2026-05-22,1.1,"bridge,endpoint,api",Bridge,bridge_invoke_endpoint,Low,Proven,CRITICAL,1,2026-04-07,Yes,Manual
Bridge health endpoint,Infra,Canonical bridge health check route,https://zdgnab3py0.execute-api.ap-southeast-2.amazonaws.com/prod/health,Active,UPDATED 2026-05-22: health endpoint updated to match new API Gateway ID zdgnab3py0,Yes,Troy / ChatGPT,2026-05-22,1.1,"bridge,health,api",Bridge,bridge_health_endpoint,Low,Proven,CRITICAL,1,2026-04-07,Yes,Manual
Bridge API key header,Infra,HTTP header name required for authenticated bridge requests,x-api-key,Active,"Header only, not the secret value",Yes,Troy / ChatGPT,2026-04-07,1.0,"bridge,auth,header",Bridge,bridge_api_key_header,Low,Proven,CRITICAL,1,2026-04-07,Yes,Manual
Bridge API key env var,Infra,Environment variable name used for bridge API authentication,T4H_BRIDGE_API_KEY,Active,"Variable name only, not the secret value",Yes,Troy / ChatGPT,2026-04-07,1.0,"bridge,env,secrets",Bridge,bridge_api_key_env_var,Low,High,STANDARD,1,2026-04-07,Yes,Manual
Bridge AWS region,Infra,AWS region for current bridge deployment,ap-southeast-2,Active,Sydney region used by current bridge stack,Yes,Troy / ChatGPT,2026-04-07,1.0,"aws,bridge,region",Bridge,bridge_aws_region,Low,Proven,CRITICAL,1,2026-04-07,Yes,Manual
Secrets bootstrap command,Ops,Command used to load the master environment before running bridge commands,source ~/secrets-vault/master.env,Active,Canonical bootstrap command previously saved for reuse,Yes,Troy / ChatGPT,2026-04-07,1.0,"secrets,env,bootstrap",Ops,secrets_bootstrap_command,Low,High,STANDARD,1,2026-04-07,Yes,Manual
Canonical knowledge doc URL,Reference,Human-facing canonical knowledge hub document,https://docs.google.com/document/d/1BNNon4RcI44sWMf4_AjfE1zw8XuI_jwvyZyzGD9nfj0/edit,Active,Primary human-readable knowledge reference,Yes,Troy / ChatGPT,2026-04-07,1.0,"knowledge,doc,gdrive",Knowledge System,canonical_knowledge_doc_url,Low,Proven,STANDARD,1,2026-04-07,Yes,Manual
Canonical knowledge sheet URL,Reference,Machine-facing canonical knowledge register spreadsheet,https://docs.google.com/spreadsheets/d/117G8SedkSFIC90aX3p-n3UiWmiL03Mx_v334mRiejXA/edit,Active,Primary structured knowledge register,Yes,Troy / ChatGPT,2026-04-07,1.0,"knowledge,sheet,gdrive",Knowledge System,canonical_knowledge_sheet_url,Low,Proven,STANDARD,1,2026-04-07,Yes,Manual
Knowledge sheet tab,Reference,Primary worksheet tab name inside the standard knowledge spreadsheet,Knowledge,Active,Renamed from Sheet1 during setup,Yes,Troy / ChatGPT,2026-04-07,1.0,"knowledge,sheet,tab",Knowledge System,knowledge_sheet_tab_name,Low,Proven,STANDARD,1,2026-04-07,Yes,Manual
